[   0,    0]
[   1,    3]
[   2,    6]
[   4,    5]
[   7,   10]
[   8,   14]
[   9,   17]
[  13,   18]
[  11,   25]
[  16,   23]
[  12,   28]
[  20,   29]
[  15,   35]
[  19,   31]
[  22,   32]
[  26,   37]
[  27,   40]
[  21,   48]
[  24,   55]
[  33,   50]
[  34,   49]
[  36,   54]
[  38,   59]
[  30,   68]
[  41,   60]
[  43,   65]
[  47,   70]
[  39,   87]
[  51,   75]
[  52,   78]
[  42,   94]
[  57,   82]
[  56,   84]
[  44,   99]
[  45,  102]
[  46,  105]
[  61,   91]
[  62,   95]
[  64,   93]
[  66,   98]
[  53,  120]
[  71,  106]
[  73,  109]
[  74,  108]
[  72,  111]
[  58,  131]
[  81,  121]
[  63,  142]
[  86,  123]
[  88,  129]
[  67,  151]
[  89,  132]
[  69,  156]
[  90,  135]
[  92,  134]
[  96,  140]
[  97,  143]
[  76,  171]
[ 101,  148]
[  77,  174]
[  79,  179]
[  80,  182]
[ 107,  157]
[ 110,  159]
[  83,  189]
[ 112,  165]
[ 113,  164]
[  85,  194]
[ 114,  168]
[ 116,  176]
[ 119,  175]
[ 122,  186]
[ 126,  184]
[ 127,  188]
[ 128,  191]
[ 100,  225]
[ 133,  195]
[ 103,  232]
[ 136,  202]
[ 104,  235]
[ 137,  205]
[ 139,  204]
[ 144,  215]
[ 145,  214]
[ 147,  217]
[ 150,  222]
[ 115,  258]
[ 117,  263]
[ 118,  266]
[ 158,  233]
[ 160,  236]
[ 163,  237]
[ 162,  239]
[ 161,  241]
[ 124,  279]
[ 125,  282]
[ 166,  244]
[ 167,  252]
[ 130,  293]
[ 172,  253]
[ 173,  256]
[ 177,  259]
[ 138,  310]
[ 180,  268]
[ 183,  269]
[ 141,  317]
[ 185,  274]
[ 187,  280]
[ 146,  328]
[ 192,  283]
[ 149,  335]
[ 196,  290]
[ 197,  289]
[ 198,  288]
[ 152,  342]
[ 199,  295]
[ 153,  345]
[ 154,  348]
[ 201,  302]
[ 155,  351]
[ 203,  308]
[ 208,  306]
[ 210,  309]
[ 212,  315]
[ 218,  322]
[ 169,  380]
[ 221,  329]
[ 170,  383]
[ 224,  331]
[ 226,  336]
[ 227,  339]
[ 230,  341]
[ 231,  344]
[ 178,  400]
[ 181,  407]
[ 238,  352]
[ 240,  355]
[ 242,  358]
[ 243,  363]
[ 246,  365]
[ 190,  426]
[ 249,  367]
[ 247,  374]
[ 250,  371]
[ 193,  433]
[ 255,  372]
[ 254,  376]
[ 257,  381]
[ 260,  386]
[ 262,  385]
[ 200,  448]
[ 264,  392]
[ 267,  397]
[ 206,  461]
[ 207,  464]
[ 272,  404]
[ 209,  469]
[ 211,  474]
[ 277,  410]
[ 278,  413]
[ 213,  479]
[ 281,  415]
[ 216,  486]
[ 284,  420]
[ 286,  423]
[ 219,  493]
[ 220,  496]
[ 291,  429]
[ 292,  432]
[ 223,  503]
[ 296,  435]
[ 297,  438]
[ 228,  514]
[ 299,  443]
[ 300,  442]
[ 298,  445]
[ 229,  517]
[ 307,  452]
[ 234,  528]
[ 313,  463]
[ 316,  465]
[ 318,  471]
[ 319,  470]
[ 321,  473]
[ 245,  551]
[ 248,  558]
[ 324,  482]
[ 326,  480]
[ 327,  483]
[ 251,  565]
[ 332,  491]
[ 334,  494]
[ 338,  499]
[ 340,  502]
[ 261,  586]
[ 343,  507]
[ 346,  511]
[ 265,  595]
[ 349,  515]
[ 350,  518]
[ 353,  520]
[ 270,  606]
[ 354,  523]
[ 271,  609]
[ 273,  614]
[ 359,  530]
[ 275,  619]
[ 362,  532]
[ 276,  622]
[ 364,  537]
[ 368,  543]
[ 369,  548]
[ 375,  549]
[ 285,  641]
[ 377,  554]
[ 287,  646]
[ 378,  559]
[ 379,  564]
[ 382,  562]
[ 388,  566]
[ 294,  661]
[ 384,  572]
[ 387,  571]
[ 389,  580]
[ 395,  578]
[ 301,  676]
[ 396,  583]
[ 394,  589]
[ 303,  681]
[ 304,  684]
[ 399,  592]
[ 305,  687]
[ 402,  591]
[ 403,  601]
[ 311,  700]
[ 408,  605]
[ 312,  703]
[ 314,  708]
[ 416,  615]
[ 417,  618]
[ 320,  721]
[ 419,  624]
[ 421,  623]
[ 323,  728]
[ 424,  628]
[ 427,  627]
[ 325,  733]
[ 428,  631]
[ 430,  636]
[ 431,  639]
[ 330,  744]
[ 436,  643]
[ 333,  751]
[ 440,  650]
[ 337,  760]
[ 441,  656]
[ 446,  655]
[ 444,  660]
[ 450,  662]
[ 449,  666]
[ 451,  669]
[ 453,  667]
[ 347,  781]
[ 454,  674]
[ 459,  678]
[ 462,  683]
[ 356,  800]
[ 467,  690]
[ 357,  803]
[ 472,  696]
[ 360,  810]
[ 361,  813]
[ 476,  701]
[ 475,  704]
[ 477,  707]
[ 478,  711]
[ 366,  824]
[ 484,  712]
[ 487,  714]
[ 485,  717]
[ 370,  833]
[ 489,  720]
[ 373,  840]
[ 490,  725]
[ 497,  731]
[ 495,  738]
[ 498,  735]
[ 500,  741]
[ 501,  740]
[ 506,  748]
[ 508,  746]
[ 390,  875]
[ 510,  755]
[ 391,  878]
[ 393,  883]
[ 516,  765]
[ 519,  763]
[ 521,  768]
[ 398,  894]
[ 522,  772]
[ 524,  770]
[ 401,  901]
[ 527,  778]
[ 405,  910]
[ 531,  785]
[ 406,  913]
[ 534,  786]
[ 536,  792]
[ 409,  920]
[ 538,  791]
[ 411,  925]
[ 539,  797]
[ 412,  928]
[ 414,  933]
[ 547,  806]
[ 418,  942]
[ 550,  811]
[ 552,  814]
[ 422,  951]
[ 555,  819]
[ 557,  822]
[ 425,  958]
[ 561,  829]
[ 567,  834]
[ 568,  837]
[ 569,  841]
[ 434,  977]
[ 573,  844]
[ 437,  984]
[ 574,  847]
[ 575,  852]
[ 439,  989]
[ 577,  858]
[ 581,  856]
[ 582,  860]
[ 584,  863]
[ 447, 1006]
[ 590,  873]
[ 593,  877]
[ 455, 1023]
[ 599,  881]
[ 597,  884]
[ 456, 1026]
[ 600,  885]
[ 457, 1029]
[ 458, 1032]
[ 602,  891]
[ 460, 1037]
[ 608,  898]
[ 607,  900]
[ 611,  903]
[ 466, 1050]
[ 468, 1055]
[ 616,  907]
[ 617,  914]
[ 620,  916]
[ 621,  919]
[ 626,  921]
[ 625,  924]
[ 629,  929]
[ 630,  932]
[ 481, 1082]
[ 633,  934]
[ 632,  937]
[ 637,  941]
[ 638,  946]
[ 488, 1097]
[ 642,  949]
[ 645,  948]
[ 492, 1106]
[ 648,  960]
[ 651,  962]
[ 652,  961]
[ 653,  968]
[ 658,  971]
[ 504, 1131]
[ 505, 1134]
[ 663,  979]
[ 664,  982]
[ 509, 1143]
[ 668,  985]
[ 670,  991]
[ 671,  990]
[ 512, 1150]
[ 513, 1153]
[ 673,  993]
[ 672,  996]
[ 677, 1000]
[ 680, 1002]
[ 679, 1014]
[ 685, 1011]
[ 686, 1015]
[ 525, 1178]
[ 689, 1016]
[ 526, 1181]
[ 692, 1020]
[ 691, 1022]
[ 529, 1188]
[ 698, 1031]
[ 533, 1197]
[ 702, 1034]
[ 535, 1202]
[ 706, 1040]
[ 705, 1042]
[ 540, 1213]
[ 541, 1216]
[ 709, 1049]
[ 542, 1219]
[ 710, 1053]
[ 544, 1224]
[ 715, 1054]
[ 545, 1227]
[ 546, 1230]
[ 716, 1061]
[ 724, 1066]
[ 722, 1069]
[ 553, 1245]
[ 726, 1075]
[ 556, 1252]
[ 729, 1079]
[ 732, 1084]
[ 560, 1261]
[ 737, 1085]
[ 736, 1087]
[ 563, 1268]
[ 739, 1092]
[ 742, 1096]
[ 745, 1100]
[ 743, 1103]
[ 570, 1283]
[ 750, 1107]
[ 749, 1111]
[ 752, 1110]
[ 753, 1114]
[ 576, 1296]
[ 758, 1121]
[ 579, 1303]
[ 761, 1125]
[ 762, 1128]
[ 767, 1132]
[ 585, 1316]
[ 769, 1138]
[ 587, 1321]
[ 588, 1324]
[ 773, 1141]
[ 771, 1144]
[ 776, 1146]
[ 775, 1151]
[ 594, 1337]
[ 782, 1154]
[ 596, 1342]
[ 598, 1347]
[ 784, 1161]
[ 787, 1158]
[ 789, 1163]
[ 790, 1169]
[ 603, 1358]
[ 604, 1361]
[ 793, 1174]
[ 610, 1374]
[ 801, 1185]
[ 612, 1379]
[ 804, 1187]
[ 613, 1382]
[ 805, 1190]
[ 807, 1195]
[ 808, 1194]
[ 812, 1199]
[ 815, 1207]
[ 818, 1208]
[ 817, 1210]
[ 825, 1220]
[ 826, 1223]
[ 830, 1228]
[ 634, 1425]
[ 831, 1231]
[ 635, 1428]
[ 836, 1232]
[ 835, 1234]
[ 640, 1439]
[ 838, 1241]
[ 839, 1251]
[ 644, 1448]
[ 845, 1247]
[ 846, 1250]
[ 647, 1455]
[ 848, 1255]
[ 649, 1460]
[ 853, 1259]
[ 849, 1265]
[ 854, 1263]
[ 855, 1266]
[ 654, 1471]
[ 859, 1269]
[ 657, 1478]
